datasetID,year,District
SD61,1996,SM19
SD64,1999,SM19
SD67,2004,SM19
SD70,2007,SM19
SD73,2011,SM19
SD79,1996,SM24
SD82,2001,SM24
SD85,2006,SM24
SD134,1993,SM37
SD137,1999,SM37
SD140,2003,SM37
SD143,2010,SM37
SD148,2000,SM40
SD150,2005,SM40
SD153,2010,SM40
SD162,1998,SM41
SD165,2004,SM41
SD171,1994,SM44
SD181,1996,SM45
SD183,2004,SM45
SD197,2010,SM50
SD174,2005,SM182
SD212,1994,SM110
SD214,1998,SM110
SD208,2007,SM59
SD266,2000,SM71
SD269,2005,SM71
SD272,2011,SM71
SD289,1993,SM84
SD292,1998,SM84
SD295,2003,SM84
SD298,2008,SM84
SD308,1995,SM91
SD310,1999,SM91
SD340,1993,SM102
SD342,1999,SM102
SD344,2005,SM102
SD393,1993,SM116
SD396,1998,SM116
SD399,2003,SM116
SD402,2008,SM116
SD417,2007,SM125
SD420,2009,SM125
SD422,2011,SM125
SD485,1996,SM135
SD488,2001,SM135
SD491,2006,SM135
SD449,1992,SM149
SD453,2003,SM149
SD527,1992,SM152
SD529,2000,SM152
SD532,2006,SM152
SD540,2001,SM154
SD543,2006,SM154
SD575,1998,SM160
SD578,2006,SM160
SD554,2003,SM161
SD557,2008,SM161
SD586,1991,SM169
SD591,2012,SM169
SD634,2000,SM186
SD637,2005,SM186
SD640,2008,SM186
SD643,2010,SM186
SD663,1997,SM198
SD666,2005,SM198
SD671,2010,SM198
SD688,2008,SM202
SD711,1996,SM223
SD746,2009,SM225
SD769,1995,SM236
SD775,2006,SM236
SD778,2009,SM236
SD1500,,
